country,year,lifeExp,pop
Bolivia,1997,NA,7693188
Bolivia,2002,NA,8445134
Bolivia,2007,NA,9119152
Bosnia and Herzegovina,1952,NA,2791000
Bosnia and Herzegovina,1957,NA,3076000
Bosnia and Herzegovina,1962,NA,3349000
Bosnia and Herzegovina,1967,NA,3585000
Bosnia and Herzegovina,1972,NA,3819000
Bosnia and Herzegovina,1977,NA,4086000
Bosnia and Herzegovina,1982,NA,4172693
Bosnia and Herzegovina,1987,NA,4338977
Bosnia and Herzegovina,1992,NA,4256013
Bosnia and Herzegovina,1997,NA,3607000
Bosnia and Herzegovina,2002,NA,4165416
Bosnia and Herzegovina,2007,NA,4552198
Botswana,1952,NA,442308
Botswana,1957,NA,474639
Botswana,1962,NA,512764
Botswana,1967,NA,553541
Botswana,1972,NA,619351
Botswana,1977,NA,781472
Botswana,1982,NA,970347
Botswana,1987,NA,1151184
Botswana,1992,NA,1342614
Botswana,1997,NA,1536536
Botswana,2002,NA,1630347
Botswana,2007,NA,1639131
Brazil,1952,NA,56602560
Brazil,1957,NA,65551171
Brazil,1962,NA,76039390
Brazil,1967,NA,88049823
Brazil,1972,NA,100840058
Brazil,1977,NA,114313951
Brazil,1982,NA,128962939
Brazil,1987,NA,142938076
Brazil,1992,NA,155975974
Brazil,1997,NA,168546719
Brazil,2002,NA,179914212
Brazil,2007,NA,190010647
Bulgaria,1952,NA,7274900
Bulgaria,1957,NA,7651254
Bulgaria,1962,NA,8012946
Bulgaria,1967,NA,8310226
Bulgaria,1972,NA,8576200
Bulgaria,1977,NA,8797022
Bulgaria,1982,NA,8892098
Bulgaria,1987,NA,8971958
Bulgaria,1992,NA,8658506
Bulgaria,1997,NA,8066057
Bulgaria,2002,NA,7661799
Bulgaria,2007,NA,7322858
Burkina Faso,1952,NA,4469979
Burkina Faso,1957,NA,4713416
Burkina Faso,1962,NA,4919632
Burkina Faso,1967,NA,5127935
Burkina Faso,1972,NA,5433886
Burkina Faso,1977,NA,5889574
Burkina Faso,1982,NA,6634596
Burkina Faso,1987,NA,7586551
Burkina Faso,1992,NA,8878303
Burkina Faso,1997,NA,10352843
Burkina Faso,2002,NA,12251209
Burkina Faso,2007,NA,14326203
Burundi,1952,NA,2445618
Burundi,1957,NA,2667518
Burundi,1962,NA,2961915
Burundi,1967,NA,3330989
Burundi,1972,NA,3529983
Burundi,1977,NA,3834415
Burundi,1982,NA,4580410
Burundi,1987,NA,5126023
Burundi,1992,NA,5809236
Burundi,1997,NA,6121610
Burundi,2002,NA,7021078
Burundi,2007,NA,8390505
Cambodia,1952,NA,4693836
Cambodia,1957,NA,5322536
Cambodia,1962,NA,6083619
Cambodia,1967,NA,6960067
Cambodia,1972,NA,7450606
Cambodia,1977,NA,6978607
Cambodia,1982,NA,7272485
Cambodia,1987,NA,8371791
Cambodia,1992,NA,10150094
Cambodia,1997,NA,11782962
Cambodia,2002,NA,12926707
Cambodia,2007,NA,14131858
Cameroon,1952,NA,5009067
Cameroon,1957,NA,5359923
Cameroon,1962,NA,5793633
Cameroon,1967,NA,6335506
Cameroon,1972,NA,7021028
Cameroon,1977,NA,7959865
Cameroon,1982,NA,9250831
Cameroon,1987,NA,10780667
Cameroon,1992,NA,12467171
Cameroon,1997,NA,14195809
Cameroon,2002,NA,15929988
Cameroon,2007,NA,17696293
Canada,1952,NA,14785584
Canada,1957,NA,17010154
Canada,1962,NA,18985849
Canada,1967,NA,20819767
Canada,1972,NA,22284500
Canada,1977,NA,23796400
Canada,1982,NA,25201900
Canada,1987,NA,26549700
Canada,1992,NA,28523502
Canada,1997,NA,30305843
Canada,2002,NA,31902268
Canada,2007,NA,33390141
Central African Republic,1952,NA,1291695
Central African Republic,1957,NA,1392284
Central African Republic,1962,NA,1523478
Central African Republic,1967,NA,1733638
Central African Republic,1972,NA,1927260
Central African Republic,1977,NA,2167533
Central African Republic,1982,NA,2476971
Central African Republic,1987,NA,2840009
Central African Republic,1992,NA,3265124
Central African Republic,1997,NA,3696513
Central African Republic,2002,NA,4048013
Central African Republic,2007,NA,4369038
Chad,1952,NA,2682462
Chad,1957,NA,2894855
Chad,1962,NA,3150417
Chad,1967,NA,3495967
Chad,1972,NA,3899068
Chad,1977,NA,4388260
Chad,1982,NA,4875118
Chad,1987,NA,5498955
Chad,1992,NA,6429417
Chad,1997,NA,7562011
Chad,2002,NA,8835739
Chad,2007,NA,10238807
Chile,1952,NA,6377619
Chile,1957,NA,7048426
Chile,1962,NA,7961258
Chile,1967,NA,8858908
Chile,1972,NA,9717524
Chile,1977,NA,10599793
Chile,1982,NA,11487112
Chile,1987,NA,12463354
Chile,1992,NA,13572994
Chile,1997,NA,14599929
Chile,2002,NA,15497046
Chile,2007,NA,16284741
China,1952,NA,556263527
China,1957,NA,637408000
China,1962,NA,665770000
China,1967,NA,754550000
China,1972,NA,862030000
China,1977,NA,943455000
China,1982,NA,1000281000
China,1987,NA,1084035000
China,1992,NA,1164970000
China,1997,NA,1230075000
China,2002,NA,1280400000
China,2007,NA,1318683096
Colombia,1952,NA,12350771
Colombia,1957,NA,14485993
Colombia,1962,NA,17009885
Colombia,1967,NA,19764027
Colombia,1972,NA,22542890
Colombia,1977,NA,25094412
Colombia,1982,NA,27764644
Colombia,1987,NA,30964245
Colombia,1992,NA,34202721
Colombia,1997,NA,37657830
Colombia,2002,NA,41008227
Colombia,2007,NA,44227550
Comoros,1952,NA,153936
Comoros,1957,NA,170928
Comoros,1962,NA,191689
Comoros,1967,NA,217378
Comoros,1972,NA,250027
Comoros,1977,NA,304739
Comoros,1982,NA,348643
Comoros,1987,NA,395114
Comoros,1992,NA,454429
Comoros,1997,NA,527982
Comoros,2002,NA,614382
Comoros,2007,NA,710960
"Congo, Dem. Rep.",1952,NA,14100005
"Congo, Dem. Rep.",1957,NA,15577932
"Congo, Dem. Rep.",1962,NA,17486434
"Congo, Dem. Rep.",1967,NA,19941073
"Congo, Dem. Rep.",1972,NA,23007669
"Congo, Dem. Rep.",1977,NA,26480870
"Congo, Dem. Rep.",1982,NA,30646495
"Congo, Dem. Rep.",1987,NA,35481645
"Congo, Dem. Rep.",1992,NA,41672143
"Congo, Dem. Rep.",1997,NA,47798986
"Congo, Dem. Rep.",2002,NA,55379852
"Congo, Dem. Rep.",2007,NA,64606759
"Congo, Rep.",1952,NA,854885
"Congo, Rep.",1957,NA,940458
"Congo, Rep.",1962,NA,1047924
"Congo, Rep.",1967,NA,1179760
"Congo, Rep.",1972,NA,1340458
"Congo, Rep.",1977,NA,1536769
"Congo, Rep.",1982,NA,1774735
"Congo, Rep.",1987,NA,2064095
"Congo, Rep.",1992,NA,2409073
"Congo, Rep.",1997,NA,2800947
"Congo, Rep.",2002,NA,3328795
"Congo, Rep.",2007,NA,3800610
Costa Rica,1952,NA,926317
Costa Rica,1957,NA,1112300
Costa Rica,1962,NA,1345187
Costa Rica,1967,NA,1588717
Costa Rica,1972,NA,1834796
Costa Rica,1977,NA,2108457
Costa Rica,1982,NA,2424367
Costa Rica,1987,NA,2799811
Costa Rica,1992,NA,3173216
Costa Rica,1997,NA,3518107
Costa Rica,2002,NA,3834934
Costa Rica,2007,NA,4133884
Cote d'Ivoire,1952,NA,2977019
Cote d'Ivoire,1957,NA,3300000
Cote d'Ivoire,1962,NA,3832408
Cote d'Ivoire,1967,NA,4744870
Cote d'Ivoire,1972,NA,6071696
Cote d'Ivoire,1977,NA,7459574
Cote d'Ivoire,1982,NA,9025951
Cote d'Ivoire,1987,NA,10761098
Cote d'Ivoire,1992,NA,12772596
Cote d'Ivoire,1997,NA,14625967
Cote d'Ivoire,2002,NA,16252726
Cote d'Ivoire,2007,NA,18013409
Croatia,1952,NA,3882229
Croatia,1957,NA,3991242
Croatia,1962,NA,4076557
Croatia,1967,NA,4174366
Croatia,1972,NA,4225310
Croatia,1977,NA,4318673
Croatia,1982,NA,4413368
Croatia,1987,NA,4484310
Croatia,1992,NA,4494013
Croatia,1997,NA,4444595
Croatia,2002,NA,4481020
Croatia,2007,NA,4493312
Cuba,1952,NA,6007797
Cuba,1957,NA,6640752
Cuba,1962,NA,7254373
Cuba,1967,NA,8139332
Cuba,1972,NA,8831348
Cuba,1977,NA,9537988
Cuba,1982,NA,9789224
Cuba,1987,NA,10239839
Cuba,1992,NA,10723260
Cuba,1997,NA,10983007
Cuba,2002,NA,11226999
Cuba,2007,NA,11416987
Czech Republic,1952,NA,9125183
Czech Republic,1957,NA,9513758
Czech Republic,1962,NA,9620282
Czech Republic,1967,NA,9835109
Czech Republic,1972,NA,9862158
Czech Republic,1977,NA,10161915
Czech Republic,1982,NA,10303704
Czech Republic,1987,NA,10311597
Czech Republic,1992,NA,10315702
Czech Republic,1997,NA,10300707
Czech Republic,2002,NA,10256295
Czech Republic,2007,NA,10228744
Denmark,1952,NA,4334000
Denmark,1957,NA,4487831
Denmark,1962,NA,4646899
Denmark,1967,NA,4838800
Denmark,1972,NA,4991596
Denmark,1977,NA,5088419
Denmark,1982,NA,5117810
Denmark,1987,NA,5127024
Denmark,1992,NA,5171393
Denmark,1997,NA,5283663
Denmark,2002,NA,5374693
Denmark,2007,NA,5468120
Djibouti,1952,NA,63149
Djibouti,1957,NA,71851
Djibouti,1962,NA,89898
Djibouti,1967,NA,127617
Djibouti,1972,NA,178848
Djibouti,1977,NA,228694
Djibouti,1982,NA,305991
Djibouti,1987,NA,311025
Djibouti,1992,NA,384156
Djibouti,1997,NA,417908
Djibouti,2002,NA,447416
Djibouti,2007,NA,496374
Dominican Republic,1952,NA,2491346
Dominican Republic,1957,NA,2923186
Dominican Republic,1962,NA,3453434
Dominican Republic,1967,NA,4049146
Dominican Republic,1972,NA,4671329
Dominican Republic,1977,NA,5302800
Dominican Republic,1982,NA,5968349
Dominican Republic,1987,NA,6655297
Dominican Republic,1992,NA,7351181
Dominican Republic,1997,NA,7992357
Dominican Republic,2002,NA,8650322
Dominican Republic,2007,NA,9319622
Ecuador,1952,NA,3548753
Ecuador,1957,NA,4058385
Ecuador,1962,NA,4681707
Ecuador,1967,NA,5432424
Ecuador,1972,NA,6298651
Ecuador,1977,NA,7278866
Ecuador,1982,NA,8365850
Ecuador,1987,NA,9545158
Ecuador,1992,NA,10748394
Ecuador,1997,NA,11911819
Ecuador,2002,NA,12921234
Ecuador,2007,NA,13755680
Egypt,1952,NA,22223309
Egypt,1957,NA,25009741
Egypt,1962,NA,28173309
Egypt,1967,NA,31681188
Egypt,1972,NA,34807417
Egypt,1977,NA,38783863
Egypt,1982,NA,45681811
Egypt,1987,NA,52799062
Egypt,1992,NA,59402198
Egypt,1997,NA,66134291
Egypt,2002,NA,73312559
Egypt,2007,NA,80264543
El Salvador,1952,NA,2042865
El Salvador,1957,NA,2355805
El Salvador,1962,NA,2747687
El Salvador,1967,NA,3232927
El Salvador,1972,NA,3790903
El Salvador,1977,NA,4282586
El Salvador,1982,NA,4474873
El Salvador,1987,NA,4842194
El Salvador,1992,NA,5274649
El Salvador,1997,NA,5783439
El Salvador,2002,NA,6353681
El Salvador,2007,NA,6939688
Equatorial Guinea,1952,NA,216964
Equatorial Guinea,1957,NA,232922
Equatorial Guinea,1962,NA,249220
Equatorial Guinea,1967,NA,259864
Equatorial Guinea,1972,NA,277603
Equatorial Guinea,1977,NA,192675
Equatorial Guinea,1982,NA,285483
Equatorial Guinea,1987,NA,341244
Equatorial Guinea,1992,NA,387838
Equatorial Guinea,1997,NA,439971
Equatorial Guinea,2002,NA,495627
Equatorial Guinea,2007,NA,551201
Eritrea,1952,NA,1438760
Eritrea,1957,NA,1542611
Eritrea,1962,NA,1666618
Eritrea,1967,NA,1820319
Eritrea,1972,NA,2260187
Eritrea,1977,NA,2512642
Eritrea,1982,NA,2637297
Eritrea,1987,NA,2915959
Eritrea,1992,NA,3668440
Eritrea,1997,NA,4058319
Eritrea,2002,NA,4414865
Eritrea,2007,NA,4906585
Ethiopia,1952,NA,20860941
Ethiopia,1957,NA,22815614
Ethiopia,1962,NA,25145372
Ethiopia,1967,NA,27860297
Ethiopia,1972,NA,30770372
Ethiopia,1977,NA,34617799
Ethiopia,1982,NA,38111756
Ethiopia,1987,NA,42999530
Ethiopia,1992,NA,52088559
Ethiopia,1997,NA,59861301
Ethiopia,2002,NA,67946797
Ethiopia,2007,NA,76511887
Finland,1952,NA,4090500
Finland,1957,NA,4324000
Finland,1962,NA,4491443
Finland,1967,NA,4605744
Finland,1972,NA,4639657
Finland,1977,NA,4738902
Finland,1982,NA,4826933
Finland,1987,NA,4931729
Finland,1992,NA,5041039
Finland,1997,NA,5134406
Finland,2002,NA,5193039
Finland,2007,NA,5238460
France,1952,NA,42459667
France,1957,NA,44310863
France,1962,NA,47124000
France,1967,NA,49569000
France,1972,NA,51732000
France,1977,NA,53165019
France,1982,NA,54433565
France,1987,NA,55630100
France,1992,NA,57374179
France,1997,NA,58623428
France,2002,NA,59925035
France,2007,NA,61083916
Gabon,1952,NA,420702
Gabon,1957,NA,434904
Gabon,1962,NA,455661
Gabon,1967,NA,489004
Gabon,1972,NA,537977
Gabon,1977,NA,706367
Gabon,1982,NA,753874
Gabon,1987,NA,880397
Gabon,1992,NA,985739
Gabon,1997,NA,1126189
Gabon,2002,NA,1299304
Gabon,2007,NA,1454867
Gambia,1952,NA,284320
Gambia,1957,NA,323150
Gambia,1962,NA,374020
Gambia,1967,NA,439593
Gambia,1972,NA,517101
Gambia,1977,NA,608274
Gambia,1982,NA,715523
Gambia,1987,NA,848406
Gambia,1992,NA,1025384
Gambia,1997,NA,1235767
Gambia,2002,NA,1457766
Gambia,2007,NA,1688359
Germany,1952,NA,69145952
Germany,1957,NA,71019069
Germany,1962,NA,73739117
Germany,1967,NA,76368453
Germany,1972,NA,78717088
Germany,1977,NA,78160773
Germany,1982,NA,78335266
Germany,1987,NA,77718298
Germany,1992,NA,80597764
Germany,1997,NA,82011073
Germany,2002,NA,82350671
Germany,2007,NA,82400996
Ghana,1952,NA,5581001
Ghana,1957,NA,6391288
Ghana,1962,NA,7355248
Ghana,1967,NA,8490213
Ghana,1972,NA,9354120
Ghana,1977,NA,10538093
Ghana,1982,NA,11400338
Ghana,1987,NA,14168101
Ghana,1992,NA,16278738
Ghana,1997,NA,18418288
Ghana,2002,NA,20550751
Ghana,2007,NA,22873338
Greece,1952,NA,7733250
Greece,1957,NA,8096218
Greece,1962,NA,8448233
Greece,1967,NA,8716441
Greece,1972,NA,8888628
Greece,1977,NA,9308479
Greece,1982,NA,9786480
Greece,1987,NA,9974490
Greece,1992,NA,10325429
Greece,1997,NA,10502372
Greece,2002,NA,10603863
Greece,2007,NA,10706290
Guatemala,1952,NA,3146381
Guatemala,1957,NA,3640876
Guatemala,1962,NA,4208858
Guatemala,1967,NA,4690773
Guatemala,1972,NA,5149581
Guatemala,1977,NA,5703430
Guatemala,1982,NA,6395630
Guatemala,1987,NA,7326406
Guatemala,1992,NA,8486949
Guatemala,1997,NA,9803875
Guatemala,2002,NA,11178650
Guatemala,2007,NA,12572928
Guinea,1952,NA,2664249
Guinea,1957,NA,2876726
Guinea,1962,NA,3140003
Guinea,1967,NA,3451418
Guinea,1972,NA,3811387
Guinea,1977,NA,4227026
Guinea,1982,NA,4710497
Guinea,1987,NA,5650262
Guinea,1992,NA,6990574
Guinea,1997,NA,8048834
Guinea,2002,NA,8807818
Guinea,2007,NA,9947814
Guinea-Bissau,1952,NA,580653
Guinea-Bissau,1957,NA,601095
Guinea-Bissau,1962,NA,627820
Guinea-Bissau,1967,NA,601287
Guinea-Bissau,1972,NA,625361
Guinea-Bissau,1977,NA,745228
Guinea-Bissau,1982,NA,825987
Guinea-Bissau,1987,NA,927524
Guinea-Bissau,1992,NA,1050938
Guinea-Bissau,1997,NA,1193708
Guinea-Bissau,2002,NA,1332459
Guinea-Bissau,2007,NA,1472041
Haiti,1952,NA,3201488
Haiti,1957,NA,3507701
Haiti,1962,NA,3880130
Haiti,1967,NA,4318137
Haiti,1972,NA,4698301
Haiti,1977,NA,4908554
Haiti,1982,NA,5198399
Haiti,1987,NA,5756203
Haiti,1992,NA,6326682
Haiti,1997,NA,6913545
Haiti,2002,NA,7607651
Haiti,2007,NA,8502814
Honduras,1952,NA,1517453
Honduras,1957,NA,1770390
Honduras,1962,NA,2090162
Honduras,1967,NA,2500689
Honduras,1972,NA,2965146
Honduras,1977,NA,3055235
Honduras,1982,NA,3669448
Honduras,1987,NA,4372203
Honduras,1992,NA,5077347
Honduras,1997,NA,5867957
Honduras,2002,NA,6677328
Honduras,2007,NA,7483763
"Hong Kong, China",1952,NA,2125900
"Hong Kong, China",1957,NA,2736300
"Hong Kong, China",1962,NA,3305200
"Hong Kong, China",1967,NA,3722800
"Hong Kong, China",1972,NA,4115700
"Hong Kong, China",1977,NA,4583700
"Hong Kong, China",1982,NA,5264500
"Hong Kong, China",1987,NA,5584510
"Hong Kong, China",1992,NA,5829696
"Hong Kong, China",1997,NA,6495918
"Hong Kong, China",2002,NA,6762476
"Hong Kong, China",2007,NA,6980412
Hungary,1952,NA,9504000
Hungary,1957,NA,9839000
Hungary,1962,NA,10063000
Hungary,1967,NA,10223422
Hungary,1972,NA,10394091
Hungary,1977,NA,10637171
Hungary,1982,NA,10705535
Hungary,1987,NA,10612740
Hungary,1992,NA,10348684
Hungary,1997,NA,10244684
Hungary,2002,NA,10083313
Hungary,2007,NA,9956108
Iceland,1952,NA,147962
Iceland,1957,NA,165110
Iceland,1962,NA,182053
Iceland,1967,NA,198676
Iceland,1972,NA,209275
Iceland,1977,NA,221823
Iceland,1982,NA,233997
Iceland,1987,NA,244676
Iceland,1992,NA,259012
Iceland,1997,NA,271192
Iceland,2002,NA,288030
Iceland,2007,NA,301931
India,1952,NA,372000000
India,1957,NA,409000000
India,1962,NA,454000000
India,1967,NA,506000000
India,1972,NA,567000000
India,1977,NA,634000000
India,1982,NA,708000000
India,1987,NA,788000000
India,1992,NA,872000000
India,1997,NA,959000000
India,2002,NA,1034172547
India,2007,NA,1110396331
Indonesia,1952,NA,82052000
Indonesia,1957,NA,90124000
Indonesia,1962,NA,99028000
Indonesia,1967,NA,109343000
Indonesia,1972,NA,121282000
Indonesia,1977,NA,136725000
Indonesia,1982,NA,153343000
Indonesia,1987,NA,169276000
Indonesia,1992,NA,184816000
Indonesia,1997,NA,199278000
Indonesia,2002,NA,211060000
Indonesia,2007,NA,223547000
Iran,1952,NA,17272000
Iran,1957,NA,19792000
Iran,1962,NA,22874000
Iran,1967,NA,26538000
Iran,1972,NA,30614000
Iran,1977,NA,35480679
Iran,1982,NA,43072751
Iran,1987,NA,51889696
Iran,1992,NA,60397973
Iran,1997,NA,63327987
Iran,2002,NA,66907826
Iran,2007,NA,69453570
Iraq,1952,NA,5441766
Iraq,1957,NA,6248643
Iraq,1962,NA,7240260
Iraq,1967,NA,8519282
Iraq,1972,NA,10061506
Iraq,1977,NA,11882916
Iraq,1982,NA,14173318
Iraq,1987,NA,16543189
Iraq,1992,NA,17861905
Iraq,1997,NA,20775703
Iraq,2002,NA,24001816
Iraq,2007,NA,27499638
Ireland,1952,NA,2952156
Ireland,1957,NA,2878220
Ireland,1962,NA,2830000
Ireland,1967,NA,2900100
Ireland,1972,NA,3024400
Ireland,1977,NA,3271900
Ireland,1982,NA,3480000
Ireland,1987,NA,3539900
Ireland,1992,NA,3557761
Ireland,1997,NA,3667233
Ireland,2002,NA,3879155
Ireland,2007,NA,4109086
Israel,1952,NA,1620914
Israel,1957,NA,1944401
Israel,1962,NA,2310904
Israel,1967,NA,2693585
Israel,1972,NA,3095893
Israel,1977,NA,3495918
Israel,1982,NA,3858421
Israel,1987,NA,4203148
Israel,1992,NA,4936550
Israel,1997,NA,5531387
Israel,2002,NA,6029529
Israel,2007,NA,6426679
Italy,1952,NA,47666000
Italy,1957,NA,49182000
Italy,1962,NA,50843200
Italy,1967,NA,52667100
Italy,1972,NA,54365564
Italy,1977,NA,56059245
Italy,1982,NA,56535636
Italy,1987,NA,56729703
Italy,1992,NA,56840847
Italy,1997,NA,57479469
Italy,2002,NA,57926999
Italy,2007,NA,58147733
Jamaica,1952,NA,1426095
Jamaica,1957,NA,1535090
Jamaica,1962,NA,1665128
Jamaica,1967,NA,1861096
Jamaica,1972,NA,1997616
Jamaica,1977,NA,2156814
Jamaica,1982,NA,2298309
Jamaica,1987,NA,2326606
Jamaica,1992,NA,2378618
Jamaica,1997,NA,2531311
Jamaica,2002,NA,2664659
Jamaica,2007,NA,2780132
Japan,1952,NA,86459025
Japan,1957,NA,91563009
Japan,1962,NA,95831757
Japan,1967,NA,100825279
Japan,1972,NA,107188273
Japan,1977,NA,113872473
Japan,1982,NA,118454974
Japan,1987,NA,122091325
Japan,1992,NA,124329269
Japan,1997,NA,125956499
Japan,2002,NA,127065841
Japan,2007,NA,127467972
Jordan,1952,NA,607914
Jordan,1957,NA,746559
Jordan,1962,NA,933559
Jordan,1967,NA,1255058
Jordan,1972,NA,1613551
Jordan,1977,NA,1937652
Jordan,1982,NA,2347031
Jordan,1987,NA,2820042
Jordan,1992,NA,3867409
Jordan,1997,NA,4526235
Jordan,2002,NA,5307470
Jordan,2007,NA,6053193
Kenya,1952,NA,6464046
Kenya,1957,NA,7454779
Kenya,1962,NA,8678557
Kenya,1967,NA,10191512
Kenya,1972,NA,12044785
Kenya,1977,NA,14500404
Kenya,1982,NA,17661452
Kenya,1987,NA,21198082
Kenya,1992,NA,25020539
Kenya,1997,NA,28263827
Kenya,2002,NA,31386842
Kenya,2007,NA,35610177
"Korea, Dem. Rep.",1952,NA,8865488
"Korea, Dem. Rep.",1957,NA,9411381
"Korea, Dem. Rep.",1962,NA,10917494
"Korea, Dem. Rep.",1967,NA,12617009
"Korea, Dem. Rep.",1972,NA,14781241
"Korea, Dem. Rep.",1977,NA,16325320
"Korea, Dem. Rep.",1982,NA,17647518
"Korea, Dem. Rep.",1987,NA,19067554
"Korea, Dem. Rep.",1992,NA,20711375
"Korea, Dem. Rep.",1997,NA,21585105
"Korea, Dem. Rep.",2002,NA,22215365
"Korea, Dem. Rep.",2007,NA,23301725
"Korea, Rep.",1952,NA,20947571
"Korea, Rep.",1957,NA,22611552
"Korea, Rep.",1962,NA,26420307
"Korea, Rep.",1967,NA,30131000
"Korea, Rep.",1972,NA,33505000
"Korea, Rep.",1977,NA,36436000
"Korea, Rep.",1982,NA,39326000
"Korea, Rep.",1987,NA,41622000
"Korea, Rep.",1992,NA,43805450
"Korea, Rep.",1997,NA,46173816
"Korea, Rep.",2002,NA,47969150
"Korea, Rep.",2007,NA,49044790
Kuwait,1952,NA,160000
Kuwait,1957,NA,212846
Kuwait,1962,NA,358266
Kuwait,1967,NA,575003
Kuwait,1972,NA,841934
Kuwait,1977,NA,1140357
Kuwait,1982,NA,1497494
Kuwait,1987,NA,1891487
Kuwait,1992,NA,1418095
Kuwait,1997,NA,1765345
Kuwait,2002,NA,2111561
Kuwait,2007,NA,2505559
Lebanon,1952,NA,1439529
Lebanon,1957,NA,1647412
Lebanon,1962,NA,1886848
Lebanon,1967,NA,2186894
Lebanon,1972,NA,2680018
Lebanon,1977,NA,3115787
Lebanon,1982,NA,3086876
Lebanon,1987,NA,3089353
Lebanon,1992,NA,3219994
Lebanon,1997,NA,3430388
Lebanon,2002,NA,3677780
Lebanon,2007,NA,3921278
Lesotho,1952,NA,748747
Lesotho,1957,NA,813338
Lesotho,1962,NA,893143
Lesotho,1967,NA,996380
Lesotho,1972,NA,1116779
Lesotho,1977,NA,1251524
Lesotho,1982,NA,1411807
Lesotho,1987,NA,1599200
